Experiment_id,time_h,time_min,volume_l,air_flow_l_min,sampling_rate_l_min,acid_rate_l_min,base_rate_l_min,initial_biomass_g_l,initial_glucose_mol_l,initial_pH,initial_volume_l,glucose_mol_l,biomass_g_l,O2_l_mol,pH,OUR_mol_min,CER_mol_min,CO2_offgas_fraction,RQ
AMBR1_14,16.4166666666667,985.000000000002,0.182902281018052,0.0833711605540548,0.0,0.0,8.887985535152517e-07,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.5789502059366307,5.1170045824467145e-05,7.98839069778125,0.0017532212916863666,0.00019361934631744333,0.00762809717070285,0.10772267436241
AMBR1_14,16.5,990.0,0.18289710265072098,0.08369096096841859,0.0,0.0,0.0,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.5406286591756317,5.1093611117541785e-05,7.99132786768463,0.0017499746756458,0.00018820273500287998,0.00772366415762506,0.107547599581183
AMBR1_14,16.5833333333333,994.999999999998,0.182891918115257,0.0839445557195116,0.0,0.0,0.0,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.575796984346502,5.0930225761427634e-05,7.99288109188396,0.00174645276782145,0.00018792238506208333,0.0077128811436543,0.107606940330569
AMBR1_14,16.6666666666667,1000.000000000002,0.18288673474485198,0.0841760241917823,0.0,0.0,0.0,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.565236996624146,5.1113693045430117e-05,7.99370765323732,0.0017559803961785,0.00018765077387087166,0.0077038125189902,0.106867824463116
AMBR1_14,16.75,1005.0,0.182881552719436,0.08435325058987389,0.0,0.0,0.0,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.5655403199178437,5.08530142208769e-05,7.99599676214008,0.0017708588125161335,0.0001869839425420117,0.0076805232867727,0.105594356053272
AMBR1_14,16.8333333333333,1009.999999999998,0.18287637387271702,0.0844348022387314,0.0,0.0,0.0,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.5666245951394435,5.095242208629642e-05,7.99780519095256,0.0017848696927074,0.00018563867238389497,0.0076267982928574195,0.10400809604265
AMBR1_14,16.9166666666667,1015.000000000002,0.182871196246779,0.08468522118250639,0.0,0.0,0.0,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.581220301844963,5.1071903576878446e-05,7.99930267401292,0.0017866207519098,0.00018551222525224834,0.0076243998787290206,0.103834613827058
AMBR1_14,17.0,1020.0,0.18286601927554,0.0849304722524575,0.0,0.0,0.0,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.545808464260263,5.09242509360226e-05,8.00101743597415,0.0017900958219299,0.00018516108224204332,0.00761009464607668,0.103437250308789
AMBR1_14,17.0833333333333,1024.999999999998,0.18286084339960398,0.0850747768387359,0.0,0.0,0.0,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.5152208738419306,5.0994471153370225e-05,8.0038826612355,0.0018007959639968834,0.00018447387625696,0.00758534067685466,0.102441466662026
AMBR1_14,17.1666666666667,1030.000000000002,0.182855670231847,0.0853046640897801,0.0,0.0,0.0,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.512641655112458,5.096888873502573e-05,8.00698191770551,0.0018012145125837335,0.00018354229756433832,0.00754749380361274,0.101899904974228
AMBR1_14,17.25,1035.0,0.182850496115619,0.0854957567280631,0.0,0.0,0.0,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.516020210959304,5.0854569748804706e-05,8.00938350621282,0.0018072985138062835,0.00018264430659387833,0.0075095125703866505,0.101062797649007
